NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT04083495,CD30 CAR for Relapsed/Refractory CD30+ T Cell Lymphoma,https://clinicaltrials.gov/study/NCT04083495,RECRUITING,Peripheral T Cell Lymphoma,BIOLOGICAL: ATLCAR.CD30 T cells|DRUG: Bendamustine|DRUG: Fludarabine|DRUG: Cyclophosphamide,UNC Lineberger Comprehensive Cancer Center,,INTERVENTIONAL
NCT06698003,A Study of Mogamulizumab to Prevent Adult T-cell Leukemia/Lymphoma in People With HTLV-1,https://clinicaltrials.gov/study/NCT06698003,RECRUITING,"T-Cell Leukemia/Lymphoma, Adult|T-cell Leukemia/Lymphoma|T-cell Leukemia|Lymphoma",DRUG: Mogamulizumab,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL
NCT06647329,CAR-T Technology for Recurrent/Refractory Malignant Hematological and Lymphatic Tumors,https://clinicaltrials.gov/study/NCT06647329,NOT_YET_RECRUITING,CAR-T Cell Therapy|Lymphomas,BIOLOGICAL: CAR-T Therapy,Mingzhi Zhang,,INTERVENTIONAL
NCT02567656,Safety and Efficacy Study of a Dual PI3K Delta/Gamma Inhibitor in T-cell Lymphoma,https://clinicaltrials.gov/study/NCT02567656,COMPLETED,"Lymphoma, T-Cell, Peripheral|Lymphoma, T-Cell, Cutaneous",DRUG: RP6530,Rhizen Pharmaceuticals SA,,INTERVENTIONAL
NCT00069238,Campath-1H and EPOCH to Treat Non-Hodgkin's T- and NK-Cell Lymphomas,https://clinicaltrials.gov/study/NCT00069238,COMPLETED,"Lymphoma, T-Cell|Lymphoma, Extranodal NK-T-Cell",BIOLOGICAL: Alemtuzumab (Campath)|DRUG: EPOCH,National Cancer Institute (NCI),,INTERVENTIONAL
NCT06633341,Targeting CD5 CAR-T Cells in the Treatment of r/r CD5+ T-lymphoma,https://clinicaltrials.gov/study/NCT06633341,RECRUITING,T-lymphoblastic Lymphoma,BIOLOGICAL: CD5 CAR T-cells,Zhejiang University,Yake Biotechnology Ltd.,INTERVENTIONAL
NCT06089941,Circulating Tumor DNA Sequencing in Patients With Peripheral T-cell Lymphomas,https://clinicaltrials.gov/study/NCT06089941,NOT_YET_RECRUITING,Peripheral T Cell Lymphoma,OTHER: circulating tumoral DNA detection,Centre Henri Becquerel,,OBSERVATIONAL
NCT02783625,Trial of Duvelisib in Combination With Either Romidepsin or Bortezomib in Relapsed/Refractory T-cell Lymphomas,https://clinicaltrials.gov/study/NCT02783625,ACTIVE_NOT_RECRUITING,Lymphoma|Relapsed/Refractory T-cell Lymphomas,DRUG: Romidepsin|DRUG: Bortezomib|DRUG: duvelisib,Memorial Sloan Kettering Cancer Center,Dana-Farber Cancer Institute|Stanford University,INTERVENTIONAL
NCT05463263,A Phase 1/2 Study of STP938 for Adult Subjects With Relapsed/Refractory B-Cell and T-Cell Lymphomas,https://clinicaltrials.gov/study/NCT05463263,RECRUITING,"Lymphoma, B-Cell|Lymphoma, T-Cell",DRUG: STP938,"Step Pharma, SAS",,INTERVENTIONAL
NCT05444712,Transplantation After Complete Response In Patients With T-cell Lymphoma,https://clinicaltrials.gov/study/NCT05444712,RECRUITING,Peripheral T Cell Lymphoma,PROCEDURE: Chemotherapy + follow up|PROCEDURE: Chemotherapy + ASCT + follow up,Hospices Civils de Lyon,,INTERVENTIONAL
NCT04828174,Anti-TRBC1 CAR-T Cell Therapy in Patients With TRBC1 Positive T Cell Malignancies,https://clinicaltrials.gov/study/NCT04828174,SUSPENDED,Peripheral T Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Anaplastic Lymphoma|Acute T Cell Leukemia|T-lymphoblastic Lymphoma,DRUG: anti-TRBC1 CAR-T cell therapy,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",,INTERVENTIONAL
NCT04234048,Phase 1 Trial of ST-001 nanoFenretinide in Relapsed/Refractory T-cell Non-Hodgkin Lymphoma,https://clinicaltrials.gov/study/NCT04234048,RECRUITING,"T-cell Lymphoma|Cutaneous/Peripheral T-Cell Lymphoma|Peripheral T-cell Lymphoma|Peripheral T-Cell Lymphoma, Not Classified|Primary Cutaneous T-cell Lymphoma|Cutaneous T-Cell Lymphoma, Unspecified|Cutaneous T-cell Lymphoma|Follicular T-Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Sézary's Disease|Mycosis Fungoides",DRUG: Fenretinide,"SciTech Development, Inc.",,INTERVENTIONAL
NCT05934864,"Different Molecular Subtypes of Peripheral T-cell Lymphoma, a Real-world Registry Study. (TRUST)",https://clinicaltrials.gov/study/NCT05934864,RECRUITING,Peripheral T Cell Lymphoma,GENETIC: 84-gene penal,Ruijin Hospital,"West China Hospital|Shandong Provincial Hospital|RenJi Hospital|Xinhua Hospital, Shanghai Jiao Tong University School of Medicine|Tianjin Medical University Cancer Institute and Hospital",OBSERVATIONAL
NCT06433362,CMOEP in the Treatment of Untreated Peripheral T-cell Lymphoma,https://clinicaltrials.gov/study/NCT06433362,RECRUITING,Peripheral T Cell Lymphoma,DRUG: CMOEP,Tianjin Medical University Cancer Institute and Hospital,,INTERVENTIONAL
NCT07000617,"A Phase II Study of Dexamethasone, Azacitidine, Pegaspargase and Tislelizumab Plus Radiotherapy for Patients With Stage I/II Extranodal NK/T-cell Lymphoma",https://clinicaltrials.gov/study/NCT07000617,RECRUITING,NK/T Cell Lymphoma,DRUG: DAPT regimen plus radiotherapy,Peking University Cancer Hospital & Institute,Peking University International Hospital|Chinese Academy of Medical Sciences,INTERVENTIONAL
NCT06712173,Linperlisib Combined With EZH2 Inhibitor in Relapsed/Refractory Peripheral T-cell Lymphoma (PTCL),https://clinicaltrials.gov/study/NCT06712173,NOT_YET_RECRUITING,Peripheral T Cell Lymphoma,DRUG: linperlisib and SHR2554,"Institute of Hematology & Blood Diseases Hospital, China",,INTERVENTIONAL
NCT06561048,"Soquelitinib vs Standard of Care in Participants With Relapsed/Refractory Peripheral T-cell Lymphoma Not Otherwise Specified, Follicular Helper T-cell Lymphomas, or Systemic Anaplastic Large-cell Lymphoma",https://clinicaltrials.gov/study/NCT06561048,RECRUITING,"Peripheral T-Cell Lymphoma, Not Otherwise Specified|Angioimmunoblastic T-cell Lymphoma|Follicular T-Cell Lymphoma|Nodal Peripheral T-Cell Lymphoma With TFH Phenotype|Systemic Anaplastic Large Cell Lymphoma|Lymphoma, T-Cell, Peripheral|Lymphoma, T-Cell",DRUG: Soquelitinib|DRUG: Belinostat|DRUG: Pralatrexate,"Corvus Pharmaceuticals, Inc.",,INTERVENTIONAL
NCT05398614,SENL101 Autologous T Cell Injection in Adults With Relapsed or Refractory CD7+ Hematolymphoid Malignancies,https://clinicaltrials.gov/study/NCT05398614,UNKNOWN,"T-ALL|Lymphoma, T-Cell",BIOLOGICAL: SENL101,"Hebei Senlang Biotechnology Inc., Ltd.",,INTERVENTIONAL
NCT03302728,Brentuximab Vedotin and Lenalidomide in Patients With Relapsed/ Refractory T-cell Lymphoma or Hodgkin Lymphoma,https://clinicaltrials.gov/study/NCT03302728,COMPLETED,"Lymphoma, T-Cell, Cutaneous|Lymphoma, T-Cell, Peripheral|Hodgkin Lymphoma",DRUG: Lenalidomide 15mg|DRUG: Brentuximab Vedotin 1.8 mg/Kg,"Peter MacCallum Cancer Centre, Australia",,INTERVENTIONAL
NCT04899414,"Dexamethasone, Azacytidine,Pegaspargase and Tislelizumab for NK/T Cell Lymphoma",https://clinicaltrials.gov/study/NCT04899414,UNKNOWN,NK/T Cell Lymphoma,"DRUG: Dexamethasone, azacytidine, Pegaspargase, Tislelizumab",Peking University,Peking University Cancer Hospital & Institute,INTERVENTIONAL
NCT05900089,Efficacy and Safety of SHR0302 in Patients With Relapsed/Refractory Peripheral T/NK Cell Lymphoma,https://clinicaltrials.gov/study/NCT05900089,NOT_YET_RECRUITING,Peripheral T Cell Lymphoma,DRUG: SHR0302,Henan Cancer Hospital,,INTERVENTIONAL
NCT06757387,Chidamide Plus Golidocitinib in Relapsed/Refractory Peripheral T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT06757387,NOT_YET_RECRUITING,Peripheral T-cell Lymphoma,DRUG: chidamide and golidocitinib,Peking University Cancer Hospital & Institute,,INTERVENTIONAL
NCT06385522,"A Clinical Trial in Adults With Non-Hodgkin Lymphoma (NHL), With a Particular Emphasis on Cutaneous T Cell Lymphoma (CTCL), Testing the Safety and Activity of a Novel Drug to Inhibit a Protein Called Tumor Necrosis Factor Receptor 2 That Drives Both Lymphoma Growth and Escape of the Immune System",https://clinicaltrials.gov/study/NCT06385522,NOT_YET_RECRUITING,NHL|Cutaneous T Cell Lymphoma|Peripheral T-cell Lymphoma,BIOLOGICAL: BITR2101,Boston Immune Technologies and Therapeutics,,INTERVENTIONAL
NCT03021057,Pembrolizumab for T/NK-cell lymphomasNK-cell Lymphomas,https://clinicaltrials.gov/study/NCT03021057,UNKNOWN,T-Cell Lymphoma|NK-Cell Lymphoma,DRUG: pembrolizumab,The University of Hong Kong,Merck Sharp & Dohme LLC,INTERVENTIONAL
NCT00880867,Intratumoral Poly-ICLC Plus Low Dose Local Radiation in Low Grade Recurrent B and T Cell Lymphoma,https://clinicaltrials.gov/study/NCT00880867,TERMINATED,B Cell Lymphoma|T Cell Lymphoma,DRUG: Poly-ICLC,Nevada Cancer Institute,CLL Topics,INTERVENTIONAL
NCT05179213,Azacytidine Plus Chidamide in the Treatment of Relapsed and Refractory Angioimmunoblastic T-cell Lymphoma,https://clinicaltrials.gov/study/NCT05179213,UNKNOWN,Angioimmunoblastic T-cell Lymphoma,DRUG: Azacitidine|DRUG: Chidamide,Peking Union Medical College Hospital,Beijing Longfu Hospital,INTERVENTIONAL
NCT06422247,Observational Study in Japanese Patients With Peripheral T-Cell Lymphoma Who Received Second-Line Therapy,https://clinicaltrials.gov/study/NCT06422247,COMPLETED,Peripheral T-cell Lymphoma,DRUG: Systemic therapy,Bristol-Myers Squibb,,OBSERVATIONAL
NCT05979792,Clinical Study of CD7 CAR-T Cell Injection in the Treatment of Patients With Relapsed or Refractory CD7-positive Peripheral T Cell Lymphoma,https://clinicaltrials.gov/study/NCT05979792,NOT_YET_RECRUITING,Peripheral T Cell Lymphoma,DRUG: CAR-T Therapy,Zhao Weili,,INTERVENTIONAL
NCT02247609,Evaluation of 4th Generation Safety-designed CAR T Cells Targeting High-risk and Refractory B Cell Lymphomas,https://clinicaltrials.gov/study/NCT02247609,UNKNOWN,B-cell Lymphomas,GENETIC: Anti-CD19 CAR T cells,Peking University,University of Florida,INTERVENTIONAL
NCT06511895,AZD4205 in Relapsed or Refractory Peripheral T Cell Lymphoma (JACKPOT27),https://clinicaltrials.gov/study/NCT06511895,RECRUITING,Peripheral T Cell Lymphoma,DRUG: AZD4205,Dizal Pharmaceuticals,,INTERVENTIONAL
NCT04040491,"PD-1 Antibody, Chidamide, Lenalidomide and Gemcitabine for Peripheral T-cell Lymphoma",https://clinicaltrials.gov/study/NCT04040491,UNKNOWN,Peripheral T-cell Lymphoma,"DRUG: PD-1 blocking antibody, chidamide, lenalidomide and gemcitabine",Mingzhi Zhang,,INTERVENTIONAL
NCT02309580,Study of Ibrutinib in Relapsed and Refractory T-cell Lymphoma,https://clinicaltrials.gov/study/NCT02309580,COMPLETED,T-cell Lymphoma|Relapsed and Refractory T-cell Lymphoma,DRUG: Ibrutinib,Memorial Sloan Kettering Cancer Center,"Ohio State University|Pharmacyclics LLC.|Janssen Biotech, Inc.",INTERVENTIONAL
NCT05083208,PI3Kδ Inhibitor Parsaclisib Combined With Chidamide for the Treatment of Relapsed/Refractory Peripheral T-cell Lymphoma,https://clinicaltrials.gov/study/NCT05083208,TERMINATED,Peripheral T-Cell Lymphoma,DRUG: Parsaclisib|DRUG: Chidamide,Henan Cancer Hospital,,INTERVENTIONAL
NCT03964480,Prospective Observational International Registry of Patients With Newly Diagnosed Peripheral T Cell Lymphoma.,https://clinicaltrials.gov/study/NCT03964480,RECRUITING,Peripheral T-Cell Lymphoma,,Associazione Angela Serra per la ricerca sul cancro,,OBSERVATIONAL
NCT06149390,ASCT Versus Chemotherapy as First-Line Consolidation Therapy inT-Cell Lymphoma,https://clinicaltrials.gov/study/NCT06149390,COMPLETED,T-cell Lymphoma Adults,DRUG: consolidation with ASCT,Huazhong University of Science and Technology,Peking University People's Hospital|Ruijin Hospital|West China Hospital,OBSERVATIONAL
NCT06511869,AZD4205 in Peripheral T Cell Lymphoma Following First-Line Therapy (JACKPOT26),https://clinicaltrials.gov/study/NCT06511869,ACTIVE_NOT_RECRUITING,Peripheral T-cell Lymphoma,DRUG: AZD4205,Dizal Pharmaceuticals,,INTERVENTIONAL
NCT06382844,Novel Flow-cytometry Approaches to Improve the Detection of Tumor Cells in CTCL,https://clinicaltrials.gov/study/NCT06382844,RECRUITING,Cutaneous T-Cell Lymphoma,DIAGNOSTIC_TEST: Detection and quantitation of (blood) tumor cells in patients with mycosis fungoides (MF) / Sézary syndrome (SS).,Instituto de Investigación Biomédica de Salamanca,Carlos III Health Institute,OBSERVATIONAL
NCT06160843,Pembrolizumab and Olaparib Treatment for Relapsed or Refractory Peripheral T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT06160843,RECRUITING,Relapsed Peripheral T-Cell Lymphoma|Refractory Peripheral T-Cell Lymphoma,"DRUG: Pembrolizumab IV infusion Q3W, with daily oral Olaparib.","National Cancer Centre, Singapore","Merck Sharp & Dohme LLC|National Medical Research Council (NMRC), Singapore",INTERVENTIONAL
NCT03161223,"Durvalumab in Different Combinations With Pralatrexate, Romidepsin and Oral 5-Azacitidine for Lymphoma",https://clinicaltrials.gov/study/NCT03161223,UNKNOWN,"Lymphoma, T-Cell",DRUG: Durvalumab|DRUG: Pralatrexate|DRUG: Romidepsin|DRUG: 5-Azacitidine,University of Virginia,,INTERVENTIONAL
NCT04512534,Sintilimab Combined With Chidamide in Treating Peripheral T Cell Lymphoma,https://clinicaltrials.gov/study/NCT04512534,RECRUITING,Peripheral T-cell Lymphoma,DRUG: PD-1 antibody+ HDAC inhibitor,Fudan University,,INTERVENTIONAL
NCT00699296,Study of Oral LBH589 in Patients With Cutaneous T-cell Lymphoma and Adult T-cell Leukemia/Lymphoma,https://clinicaltrials.gov/study/NCT00699296,TERMINATED,"Cutaneous T-Cell Lymphoma|Leukemia-Lymphoma, Adult T-Cell",DRUG: Panobinostat (LBH589),Novartis Pharmaceuticals,,INTERVENTIONAL
NCT04480099,Targeted Drug Combined With CHOP in the Treatment of Newly Diagnosed Peripheral T-cell Lymphoma,https://clinicaltrials.gov/study/NCT04480099,UNKNOWN,Peripheral T-cell Lymphoma,DRUG: CHOP|DRUG: CHOP+X,Ruijin Hospital,,INTERVENTIONAL
NCT06550336,A Clinical Study Assessing the Efficacy of Chidamide for CD30-positive Peripheral T-cell Lymphoma (PTCL).,https://clinicaltrials.gov/study/NCT06550336,ACTIVE_NOT_RECRUITING,Peripheral T Cell Lymphoma,DRUG: Chidamide,The First Hospital of Jilin University,,INTERVENTIONAL
NCT01169298,"A Phase I, Multicenter, Open-label, Dose-escalation Study to Assess the Safety of Lenalidomide in Patients With Advanced Adult T-cell Leukemia-lymphoma and Peripheral T-cell Lymphomaperipheral T-cell Lymphoma",https://clinicaltrials.gov/study/NCT01169298,COMPLETED,Adult T-cell Leukemia-Lymphoma|Peripheral T-cell Lymphoma,DRUG: Lenalidomide,Celgene,,INTERVENTIONAL
NCT06173999,A Study of SHR2554 With Chemotherapy in Treatment-naïve Patients With Peripheral T-cell Lymphoma,https://clinicaltrials.gov/study/NCT06173999,RECRUITING,Peripheral T-cell Lymphoma,DRUG: SHR2554/CHOP|DRUG: SHR2554/CHOEP,"Jiangsu HengRui Medicine Co., Ltd.",,INTERVENTIONAL
NCT05495100,"A Single-arm, Multicenter, Prospective Clinical Study of Mitoxantrone Liposome Combined With Chidamide and Azacitidine in the Treatment of Relapsed and Refractory Peripheral T-cell Lymphoma",https://clinicaltrials.gov/study/NCT05495100,UNKNOWN,Peripheral T Cell Lymphoma,DRUG: Mitoxantrone liposome、Chidamide、Azacitidine,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Ningbo No. 1 Hospital|Jinhua Central Hospital|Huizhou Municipal Central Hospital,INTERVENTIONAL
NCT06436677,A Study of Molecular Subtyping-based Therapeutic Strategies for Cutaneous T-cell Lymphoma,https://clinicaltrials.gov/study/NCT06436677,RECRUITING,Cutaneous T-Cell Lymphoma/Mycosis Fungoides|Cutaneous T Cell Lymphoma,OTHER: molecular subtype based treatment,Peking University First Hospital,Peking University Third Hospital|Peking University Cancer Hospital & Institute,OBSERVATIONAL
NCT05458180,CMOEP in the Treatment of Untreated Peripheral T-cell Lymphoma,https://clinicaltrials.gov/study/NCT05458180,UNKNOWN,Peripheral T-cell Lymphoma,"DRUG: Lposomal mitoxantrone hydrochloride,Cyclophosphamide,Vincristine,Etoposide and Prednisone(CMOEP)",Tianjin Medical University Cancer Institute and Hospital,"CSPC Ouyi Pharmaceutical Co., Ltd.",INTERVENTIONAL
NCT04296786,Sintilimab Plus Chidamide in the Treatment of Relapsed and Refractory Cutaneous T-cell Lymphoma: a Multicenter Phase II Study,https://clinicaltrials.gov/study/NCT04296786,UNKNOWN,Cutaneous T-cell Lymphoma,DRUG: Sintilimab|DRUG: Chidamide,Peking Union Medical College Hospital,"Peking University Third Hospital|Beijing Longfu Hospital|Dongzhimen Hospital, Beijing",INTERVENTIONAL
NCT01663571,STAT3 in T Cells: At The Crossroads of Inflammation and Cancer,https://clinicaltrials.gov/study/NCT01663571,TERMINATED,Cutaneous T Cell Lymphoma,,NYU Langone Health,,OBSERVATIONAL
NCT04880746,Efficacy and Safety of Cladribine Combined With BEAC Pretreatment Regimen in the Treatment of Peripheral T-cell Lymphoma: a Multicenter Clinical Study,https://clinicaltrials.gov/study/NCT04880746,RECRUITING,Peripheral T-cell Lymphoma,DRUG: BEAC|DRUG: Cladribine combined with BEAC,Ruijin Hospital,"Xinqiao Hospital of Chongqing|The First Affiliated Hospital of Anhui Medical University|Harbin Hematology and Oncology Institute|The Affiliated Zhongshan Hospital of Dalian University|Qilu Hospital of Shandong University|Fujian Medical University Union Hospital|Shanxi Province Cancer Hospital|RenJi Hospital|Xinhua Hospital, Shanghai Jiao Tong University School of Medicine|Huashan Hospital",INTERVENTIONAL
NCT04038411,"PD-1 Antibody, Chidamide, Lenalidomide and Etoposide for Relapsed or Refractory NK/T Cell Lymphoma",https://clinicaltrials.gov/study/NCT04038411,UNKNOWN,NK/T Cell Lymphoma,"DRUG: PD-1 Antibody, chidamide, lenalidomide and etoposide",Mingzhi Zhang,,INTERVENTIONAL
NCT06665490,Pilot Study to Characterize the Microbiome in Cutaneous T Cell Lymphoma Skin Lesions Before and After Use of CLn® Skin Care Body Wash,https://clinicaltrials.gov/study/NCT06665490,NOT_YET_RECRUITING,Cutaneous T Cell Lymphoma,OTHER: CLn Body Wash,Northwestern University,,OBSERVATIONAL
NCT03932279,Characterization of the Microbiome in Cutaneous T Cell Lymphoma,https://clinicaltrials.gov/study/NCT03932279,RECRUITING,Cutaneous T Cell Lymphoma,,Northwestern University,,OBSERVATIONAL
NCT04489264,The Role of Consolidative Autologous Stem Cell Transplantation After First-line Therapy in Peripheral T Cell Lymphoma,https://clinicaltrials.gov/study/NCT04489264,RECRUITING,Peripheral T Cell Lymphoma,"DRUG: Transplant, Autologous",Peking University,,OBSERVATIONAL
NCT05662540,PET/MR in the Staging and Efficacy Evaluation of Newly Diagnosed NK/T-cell Lymphoma,https://clinicaltrials.gov/study/NCT05662540,RECRUITING,NK/T-cell Lymphoma,DEVICE: Positron Emission Tomography/Magnetic Resonance (PET/MR),Ruijin Hospital,,INTERVENTIONAL
NCT04653649,CAR T-cells Against CD30 (HSP-CAR30) for Relapsed/ Refractory Hodgkin and T-cell Lymphoma.,https://clinicaltrials.gov/study/NCT04653649,UNKNOWN,"Hodgkin Lymphoma, Adult|T Cell Lymphoma",BIOLOGICAL: HSP-CAR30,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,Josep Carreras Leukaemia Research Institute|Instituto de Salud Carlos III,INTERVENTIONAL
NCT06548347,A Phase II/III Study of Linperlisib Plus CHOP Versus CHOP in Patients With Newly Diagnosed Peripheral T Cell Lymphoma,https://clinicaltrials.gov/study/NCT06548347,NOT_YET_RECRUITING,Peripheral T Cell Lymphoma,DRUG: Linperlisib,Shanghai YingLi Pharmaceutical Co. Ltd.,,INTERVENTIONAL
NCT06420076,Sequential CAR-T Cells Therapy for CD5/CD7 Positive T-cell Acute Lymphoblastic Leukemia and Lymphoblastic Lymphoma Using CD5/CD7-Specific CAR-T Cells,https://clinicaltrials.gov/study/NCT06420076,RECRUITING,T Cell Lymphoma|T Cell Leukemia|T-cell Acute Lymphoblastic Leukemia|T-Cell Lymphoma of CNS|T Cell Prolymphocytic Leukemia|T Cell Childhood ALL,BIOLOGICAL: CD5/CD7 CAR-T,Essen Biotech,,INTERVENTIONAL
NCT06083701,"Phase I/II Study of Linperlisib Plus Chidamide for R/R Peripheral T-cell Lymphoma: a Prospective, Multi-center Study",https://clinicaltrials.gov/study/NCT06083701,RECRUITING,Peripheral T Cell Lymphoma,DRUG: Linperlisib in combined with Chidamide,Peking Union Medical College Hospital,,INTERVENTIONAL
NCT06037239,"Phase I/II Study of Linperlisib Plus Chidamide for R/R Cutaneous T-cell Lymphoma: a Prospective, Single-center Study",https://clinicaltrials.gov/study/NCT06037239,RECRUITING,Cutaneous T-cell Lymphoma,DRUG: Linperlisib in combined with Chidamide,Peking Union Medical College Hospital,,INTERVENTIONAL
